"연번","미디어타입","제목","장소명","장소타입","장소설명","영업시간","브레이크타임","휴무일","주소","위도","경도","전화번호","최종작성일"
"15292","guide","미슐랭 가이드 2025","평양집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","북구 금곡대로 20번길 21","35.2121322","129.0058693","+82 51-331-5445","2026-01-29"
"15293","guide","미슐랭 가이드 2025","울트라 바이트","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 민락로 14번길 28","35.1577013","129.1228583","+82 50-71358-2745","2026-01-29"
"15294","guide","미슐랭 가이드 2025","토오루","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","부산진구 동성로 49번길 38-1","35.1551312","129.0663815","+82 10-7252-6012","2026-01-29"
"15295","guide","미슐랭 가이드 2025","오일제","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 한강대로 62다길 29","37.5325421","126.9747537","+82 70-8831-5534","2026-01-29"
"15296","guide","미슐랭 가이드 2025","후제","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 논현로 24길 21, 2층","37.4821230","127.0447767","+82 70-4837-4997","2026-01-29"
"15297","guide","미슐랭 가이드 2025","두리","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 원효로63길 27","37.5379585","126.9635269","+82 50-71409-3655","2026-01-29"
"15298","guide","미슐랭 가이드 2025","오니바","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 도산대로 75길 15, 지하 1층","37.5251936","127.0457369","+82 2-516-3352","2026-01-29"
"15299","guide","미슐랭 가이드 2025","비움","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 학동로 97길 41","37.5224150","127.0543322","+82 2-549-8889","2026-01-29"
"15300","guide","미슐랭 가이드 2025","기와강","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 논현로 152길 9, 4층","37.5211376","127.0289377","+82 2-517-2511","2026-01-29"
"15301","guide","미슐랭 가이드 2025","소바키리 스즈","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 동호로 12길 98","37.5594843","127.0124181","+82 2-2256-6986","2026-01-29"
"15302","guide","미슐랭 가이드 2025","고사리 익스프레스","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 퇴계로85길 12-10","37.5662691","127.0200286","+82 2-2039-3140","2026-01-29"
"15303","guide","미슐랭 가이드 2025","서교난면방","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 동교로 12길 16","37.5535799","126.9123197","+82 10-9516-0934","2026-01-29"
"15304","guide","미슐랭 가이드 2025","옥돌현옥","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","송파구 오금로 36길 26-1","37.5015212","127.1240817","+82 2-404-4824","2026-01-29"
"15305","guide","미슐랭 가이드 2025","곰탕랩","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","강남구 테헤란로 517, 현대백화점 10층","37.5086780","127.0598632","+82 2-517-4656","2026-01-29"
"15306","guide","미슐랭 가이드 2025","정짓간","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","사하구 비봉로 6","35.0957229","128.9624843","+82 51-293-2900","2026-01-29"
"15307","guide","미슐랭 가이드 2025","마나오","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 한남대로 21길 18, 2층","37.5341000","127.0061838","+82 50-71368-0346","2026-01-29"
"15308","guide","미슐랭 가이드 2025","미필담","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 성지 3길 22","37.5466214","126.9142074","+82 10-5455-5041","2026-01-29"
"15309","guide","미슐랭 가이드 2025","한월관","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","수영구 광안로 62번길 10","35.1544104","129.1182764","+82 51-711-7025","2026-01-29"
"15310","guide","미슐랭 가이드 2025","본 앤 브레드","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","해운대구 해운대해변로 296 파라다이스호텔 지하 1층","35.1599248","129.1641055","+82 51-749-2400","2026-01-29"
"15311","guide","미슐랭 가이드 2025","니시무라멘","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","서울 마포구 동교로 265, 4층","37.5633606","126.9252750","+82 10-9596-1122","2026-01-29"
"15312","guide","미슐랭 가이드 2025","주052","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","성동구 고산자로 14길 26","37.5634050","127.0377678","+82 2-2281-0343","2026-01-29"
"15313","guide","미슐랭 가이드 2025","팀호완","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 봉은사로 86길 30","37.5114550","127.0568921","+82 2-6207-3082","2026-01-29"
"15314","guide","미슐랭 가이드 2025","트리드","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 162길 16, 2층","37.5266806","127.0416976","+82 2-512-8312","2026-01-29"
"15315","guide","미슐랭 가이드 2025","도림","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 을지로 30, 롯데호텔 37층","37.5653459","126.9810075","+82 2-317-7101","2026-01-29"
"15316","guide","미슐랭 가이드 2025","야키토리 묵","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","마포구 성미산로 165-1","37.5646628","126.9245686","+82 70-8835-3433","2026-01-29"
"15317","guide","미슐랭 가이드 2025","유 유안","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","종로구 새문안로 97, 포시즌스 호텔 11층","37.5706980","126.9754291","+82 2-6388-5500","2026-01-29"
"15318","guide","미슐랭 가이드 2025","외고집 설렁탕","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 삼성로 555","37.5110188","127.0539193","+82 2-567-5225","2026-01-29"
"15319","guide","미슐랭 가이드 2025","레스토랑 오와이","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 148길 48-12, 지하 1층","37.5222394","127.0432773","+82 2-515-7250","2026-01-29"
"15320","guide","미슐랭 가이드 2025","온지음","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","종로구 효자로 49, 4층","37.5805153","126.9734049","+82 2-6952-0024","2026-01-29"
"15321","guide","미슐랭 가이드 2025","피에르 가니에르","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 을지로 30, 롯데호텔 35층","37.5653459","126.9810075","+82 2-317-7181","2026-01-29"
"15322","guide","미슐랭 가이드 2025","토라후구가","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","해운대구 좌동순환로 480","35.1644355","129.1703848","+82 51-743-5432","2026-01-29"
"15323","guide","미슐랭 가이드 2025","숙수도가","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","성북구 동소문로 17길 28","37.5935473","127.0154214","+82 10-8231-2627","2026-01-29"
"15324","guide","미슐랭 가이드 2025","하쿠시","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 언주로 157길 8-4, 2","37.5241313","127.0322719","+82 10-7316-6212","2026-01-29"
"15325","guide","미슐랭 가이드 2025","텐지몽","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 학동로 97길 41, 4층","37.5224150","127.0543322","+82 2-542-3010","2026-01-29"
"15326","guide","미슐랭 가이드 2025","합정옥","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 양화로 1길 21, 2층","37.5495924","126.9104481","+82 2-322-4822","2026-01-29"
"15327","guide","미슐랭 가이드 2025","쥬에","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 독서당로 124-7","37.5374951","127.0128107","+82 2-798-9700","2026-01-29"
"15328","guide","미슐랭 가이드 2025","에빠뉘","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 146길 33, 3층","37.5219089","127.0425771","+82 2-548-2020","2026-01-29"
"15329","guide","미슐랭 가이드 2025","베이스 이즈 나이스","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 도화 2길 20","37.5396291","126.9491079","+82 50-71306-6724","2026-01-29"
"15330","guide","미슐랭 가이드 2025","진진","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 월드컵북로 1길 60","37.5538022","126.9184110","+82 70-5035-8878","2026-01-29"
"15331","guide","미슐랭 가이드 2025","무궁화","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 을지로 30, 롯데호텔 38층","37.5653459","126.9810075","+82 2-317-7061","2026-01-29"
"15332","guide","미슐랭 가이드 2025","만족오향족발","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","중구 서소문로 134-7","37.5632597","126.9760340","+82 2-753-4755","2026-01-29"
"15333","guide","미슐랭 가이드 2025","유림면","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","중구 서소문로 139-1","37.5642444","126.9760984","+82 2-755-0659","2026-01-29"
"15334","guide","미슐랭 가이드 2025","봉산옥","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","서초구 반포대로 8길 5-6","37.4833917","127.0124681","+82 2-525-2282","2026-01-29"
"15335","guide","미슐랭 가이드 2025","테판","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 소월로 322, 그랜드 하얏트 호텔 지하 1층","37.5396013","126.9974520","+82 2-799-8272","2026-01-29"
"15336","guide","미슐랭 가이드 2025","본 앤 브레드","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","성동구 마장로 42길 1, 2층","37.5667972","127.0445130","+82 2-2294-5005","2026-01-29"
"15337","guide","미슐랭 가이드 2025","미진","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","종로구 종로 19, 르메이에르 종로타운 116-2호","37.5708345","126.9798606","+82 2-730-6198","2026-01-29"
"15338","guide","미슐랭 가이드 2025","봉밀가","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 664","37.5158956","127.0423350","+82 2-546-2305","2026-01-29"
"15339","guide","미슐랭 가이드 2025","무오키","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","강남구 학동로 55길 12-12, 2층","37.5190071","127.0422472","+82 10-2948-4171","2026-01-29"
"15340","guide","미슐랭 가이드 2025","비스트로 드 욘트빌","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 158길 13-7","37.5260438","127.0412382","+82 2-541-1550","2026-01-29"
"15341","guide","미슐랭 가이드 2025","보름쇠","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 테헤란로 81길 36","37.5093227","127.0566509","+82 2-569-9967","2026-01-29"
"15342","guide","미슐랭 가이드 2025","더 그린테이블","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","종로구 율곡로 83, 아라리오 스페이스 5층","37.5778205","126.9883592","+82 2-591-2672","2026-01-29"
"15343","guide","미슐랭 가이드 2025","나인스 게이트","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 소공로 106, 웨스틴 조선 호텔 1층","37.5645115","126.9801806","+82 2-317-0366","2026-01-29"
"15344","guide","미슐랭 가이드 2025","온","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 도산대로 92길 42, 지하 1층","37.5219933","127.0494134","+82 2-547-0467","2026-01-29"
"15345","guide","미슐랭 가이드 2025","텅 앤 그루브 조인트","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 보광로 60길 7","37.5341127","126.9945396","+82 2-790-7036","2026-01-29"
"15346","guide","미슐랭 가이드 2025","무니","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","강남구 도산대로 72길 16","37.5229423","127.0454969","+82 2-511-1303","2026-01-29"
"15347","guide","미슐랭 가이드 2025","스테이","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","송파구 올림픽로 300, 롯데월드 타워 81층","37.5125701","127.1025624","+82 2-3213-1231","2026-01-29"
"15348","guide","미슐랭 가이드 2025","마포옥","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 토정로 312","37.5398755","126.9433486","+82 2-716-6661","2026-01-29"
"15349","guide","미슐랭 가이드 2025","오레노 라멘","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 독막로 8길 16","37.5472578","126.9177893","+82 2-322-3539","2026-01-29"
"15350","guide","미슐랭 가이드 2025","교양식사","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 이태원로 238","37.5359183","126.9999075","+82 10-7601-4041","2026-01-29"
"15351","guide","미슐랭 가이드 2025","스바루","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","서초구 방배중앙로 21길 7","37.4923912","126.9861490","+82 2-596-4882","2026-01-29"
"15352","guide","미슐랭 가이드 2025","비채나","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","송파구 올림픽로 300, 롯데월드 타워 81층","37.5125701","127.1025624","+82 2-3213-1261","2026-01-29"
"15353","guide","미슐랭 가이드 2025","황금콩밭","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 마포대로 16길 9","37.5509597","126.9567133","+82 2-313-2952","2026-01-29"
"15354","guide","미슐랭 가이드 2025","남포면옥","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 을지로 3길 24","37.5671505","126.9816892","+82 2-777-3131","2026-01-29"
"15355","guide","미슐랭 가이드 2025","황생가 칼국수","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","종로구 북촌로 5길 78","37.5801318","126.9806901","+82 2-739-6334","2026-01-29"
"15356","guide","미슐랭 가이드 2025","줄라이","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","서초구 동광로 164","37.4947387","127.0000032","+82 2-534-9544","2026-01-29"
"15357","guide","미슐랭 가이드 2025","명동 교자","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","중구 명동 10길 29","37.5625768","126.9857689","+82 2-776-5348","2026-01-29"
"15358","guide","미슐랭 가이드 2025","크리스탈 제이드","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 남대문로 7길 16, 지하 1층","37.5641656","126.9811637","+82 2-3789-8088","2026-01-29"
"15359","guide","미슐랭 가이드 2025","만두집","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","강남구 압구정로 338","37.5279256","127.0388919","+82 2-544-3710","2026-01-29"
"15360","guide","미슐랭 가이드 2025","꼼 모아","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 신흥로 56","37.5435123","126.9877093","+82 2-6217-5252","2026-01-29"
"15361","guide","미슐랭 가이드 2025","진미식당","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","마포구 마포대로 186-6","37.5505909","126.9558035","+82 2-3211-4468","2026-01-29"
"15362","guide","미슐랭 가이드 2025","대성집","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","종로구 사직로 5","37.5727492","126.9609262","+82 2-735-4259","2026-01-29"
"15363","guide","미슐랭 가이드 2025","할매집","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","종로구 사직로 12길 1-5","37.5756812","126.9714514","+82 2-735-2608","2026-01-29"
"15364","guide","미슐랭 가이드 2025","개성만두 궁","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","종로구 인사동 10길 11-3","37.5742824","126.9853994","+82 2-733-9240","2026-01-29"
"15365","guide","미슐랭 가이드 2025","버드나무집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","서초구 효령로 434","37.4891119","127.0312056","+82 2-3473-4167","2026-01-29"
"15366","guide","미슐랭 가이드 2025","삼청동 수제비","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","종로구 삼청로 101-1","37.5846719","126.9819109","+82 2-735-2965","2026-01-29"
"15367","guide","미슐랭 가이드 2025","도우룸","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","서초구 동광로 99, 2층","37.4938433","126.9933670","+82 2-535-9386","2026-01-29"
"15368","guide","미슐랭 가이드 2025","곰바위","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 영동대로 115길 10","37.5148825","127.0588355","+82 2-511-0068","2026-01-29"
"15369","guide","미슐랭 가이드 2025","랑빠스 81","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","마포구 동교로 30길 17-1","37.5602685","126.9251662","+82 70-7779-8181","2026-01-29"
"15370","guide","미슐랭 가이드 2025","정인면옥","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","영등포구 국회대로 76길 10","37.5306764","126.9215711","+82 2-2683-2615","2026-01-29"
"15371","guide","미슐랭 가이드 2025","융캉찌에","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 광안해변로 277번길 10","35.1564058","129.1242233","+82 51-758-6011","2026-01-29"
"15372","guide","미슐랭 가이드 2025","슌사이 쿠보","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","북구 양달로 4번길 17","35.2408834","129.0147090","+82 51-365-2959","2026-01-29"
"15373","guide","미슐랭 가이드 2025","합천국밥집","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","남구 용호로 235","35.1112466","129.1112571","+82 51-628-4898","2026-01-29"
"15374","guide","미슐랭 가이드 2025","바오하우스","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","부산진구 서전로 38번길 62-9","35.1548960","129.0633480","+82 10-4888-1041","2026-01-29"
"15375","guide","미슐랭 가이드 2025","언양불고기 부산집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 남천바다로 32","35.1477250","129.1134170","+82 51-754-1004","2026-01-29"
"15376","guide","미슐랭 가이드 2025","나막집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","남구 분포로 145, W 스퀘어 A동 1068호","35.1337125","129.1126448","+82 51-746-4882","2026-01-29"
"15377","guide","미슐랭 가이드 2025","델리봉","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 민락로 27번길 4, 3층","35.1575856","129.1215268","정보없음","2026-01-29"
"15378","guide","미슐랭 가이드 2025","피오또","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","해운대구 달맞이길 117번가길 219, 2층","35.1612531","129.1832647","+82 51-744-5309","2026-01-29"
"15379","guide","미슐랭 가이드 2025","호라파","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","종로구 자하문로 37-1, 2층","37.5793929","126.9711008","+82 2-730-0215","2026-01-29"
"15380","guide","미슐랭 가이드 2025","딤타오","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","해운대구 우동 1로 25","35.1639357","129.1564640","+82 51-741-3638","2026-01-29"
"15381","guide","미슐랭 가이드 2025","제로 베이스","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 민락로 33번길 17, 2층","35.1574119","129.1209568","+82 70-8803-0318","2026-01-29"
"15382","guide","미슐랭 가이드 2025","담택","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 동교로12안길 51","37.5544750","126.9151547","+82 2-332-4560","2026-01-29"
"15383","guide","미슐랭 가이드 2025","솔밤","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","강남구 학동로 231, 2층","37.5155347","127.0341919","+82 70-4405-7788","2026-01-29"
"15384","guide","미슐랭 가이드 2025","리북방","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","마포구 마포대로 1길 16, 2층","37.5397175","126.9431357","+82 2-720-2345","2026-01-29"
"15385","guide","미슐랭 가이드 2025","아르프","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","영도구 태종로 99번길 35","35.0929316","129.0425644","+82 10-5588-1368","2026-01-29"
"15386","guide","미슐랭 가이드 2025","사루카메","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","마포구 연남로 15","37.5610778","126.9226848","정보없음","2026-01-29"
"15387","guide","미슐랭 가이드 2025","레스토랑 주은","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","서울 종로구 경희궁길 36, 경희당 8층","37.5729168","126.9700788","+82 2-540-8580","2026-01-29"
"15388","guide","미슐랭 가이드 2025","원 디그리 노스","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 학동로 43길 8","37.5166452","127.0374807","+82 70-4333-8884","2026-01-29"
"15389","guide","미슐랭 가이드 2025","정면","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","광진구 능동로 13길 88","37.5455045","127.0686440","+82 10-9974-3592","2026-01-29"
"15390","guide","미슐랭 가이드 2025","셰누 프라이빗 키친","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","용산구 녹사평대로 210-6, 3층","37.5363416","126.9873967","+82 70-8624-8907","2026-01-29"
"15391","guide","미슐랭 가이드 2025","소수헌","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","중구 만리재로 21길 8","37.5529537","126.9634155","+82 10-9694-3368","2026-01-29"
"15392","guide","미슐랭 가이드 2025","뛰뚜아멍","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","성동구 광나루로 11길 20","37.5496478","127.0666794","+82 2-499-9056","2026-01-29"
"15393","guide","미슐랭 가이드 2025","비비재","restaurant","빕 구르망 레스토랑.","정보없음","정보없음","정보없음","수영구 남천바다로 10번길 45","35.1479396","129.1114535","+82 70-8287-1035","2026-01-29"
"15394","guide","미슐랭 가이드 2025","스시 마츠모토","restaurant","미슐랭 1스타 레스토랑.","정보없음","정보없음","정보없음","강남구 도산대로 75길 24","37.5258171","127.0456684","+82 2-543-4334","2026-01-29"
"15395","guide","미슐랭 가이드 2025","코자차","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 학동로 97길 17","37.5208702","127.0552240","+82 10-9023-7771","2026-01-29"
"15396","guide","미슐랭 가이드 2025","키라메키","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 도산대로 28길 18","37.5180687","127.0282337","+82 10-3894-2356","2026-01-29"
"15397","guide","미슐랭 가이드 2025","리알토","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 삼성로 149길 13, 2층","37.5231985","127.0465301","+82 2-544-4761","2026-01-29"
